Centre  2016,PASS (Initial Test),FAIL (Initial Test),PASS (Re-test),FAIL (Re-test),Total Passes
Abbeyfeale,8865,7465,6913,729,15778
Arklow,12971,15525,13299,1535,26270
Athlone,8866,10165,9185,934,18051
Ballina,8185,9724,8953,664,17138
Ballinasloe,8207,7122,6651,537,14858
Cahir,14915,15779,13911,1310,28826
Cahirciveen,1840,1758,1601,85,3441
Carlow,12642,16324,14421,1483,27063
Carndonagh,3770,3425,3297,293,7067
Carrick-on-Shannon,5939,7269,6675,633,12614
Castlerea,6706,8234,7226,656,13932
Cavan,6906,9072,8340,1007,15246
Charleville,8870,8858,8009,669,16879
Clifden,1736,2781,2499,261,4235
Cork-Blarney,20838,23883,20177,2217,41015
Cork-Little Island,36202,33763,32573,3059,68775
Deansgrange,54284,44861,43434,4005,97718
Derrybeg,2489,3303,3080,177,5569
Donegal,5596,5532,5042,565,10638
Drogheda,19363,18763,16566,1706,35929
Dundalk,10240,12294,11126,1367,21366
Ennis,15090,17614,15871,1693,30961
Enniscorthy,17479,20676,18176,1786,35655
Fonthill,43073,54909,45521,5405,88594
Galway,27760,32122,29334,2964,57094
Greenhills,29909,34135,34051,3985,63960
Kells,15856,18128,15790,1819,31646
Kilkenny,15981,12731,12171,966,28152
Killarney,10956,9066,8708,533,19664
Letterkenny,10296,11908,11142,1078,21438
Limerick,25889,29314,27481,3167,53370
Longford,6167,8524,7607,922,13774
Macroom,8688,8122,7272,484,15960
Monaghan,5497,8638,7676,1090,13173
Mullingar,8949,10906,9891,989,18840
Naas,22391,27564,23189,2442,45580
Nenagh,12207,12662,11179,1060,23386
Northpoint 1 ,28931,34213,31151,3726,60082
Northpoint 2 ,44927,53124,46900,4926,91827
Portlaoise,13658,11446,10372,864,24030
Skibbereen,7837,8637,7952,572,15789
Sligo,9354,10913,10119,861,19473
Tralee,12323,10983,10148,898,22471
Tullamore,11808,10680,9952,817,21760
Waterford,19775,20023,17236,1658,37011
Westport,10606,11460,10279,783,20885
Youghal,7928,8539,7299,673,15227
Total ,702765,762937,689445,70053,1392210
