Centre 2017,PASS (Initial Test),FAIL (Initial Test),PASS (Re-test),FAIL (Re-test),Total Passes
Abbeyfeale,8410,6611,6067,640,14477
Arklow,12338,13890,12261,1233,24599
Athlone,7779,9385,8466,818,16245
Ballina,7786,8862,8115,634,15901
Ballinasloe,8048,6880,6320,483,14368
Cahir,13082,14917,13152,1149,26234
Cahirciveen,1695,1519,1388,106,3083
Carlow,11738,13936,12410,1199,24148
Carndonagh,3460,3325,3077,311,6537
Carrick-on-Shannon,6012,6545,5940,541,11952
Castlerea,6391,7586,6747,651,13138
Cavan,6348,8360,7698,900,14046
Charleville,8931,7661,7052,564,15983
Clifden,1738,2443,2247,183,3985
Cork-Blarney,21290,21960,19450,2035,40740
Cork-Little Island,35339,31909,30109,2616,65448
Deansgrange,52323,40779,38430,3462,90753
Derrybeg,2453,2960,2752,134,5205
Donegal,4981,5670,5127,498,10108
Drogheda,17645,17296,15344,1512,32989
Dundalk,9867,11065,10124,1169,19991
Ennis,13887,15696,14365,1476,28252
Enniscorthy,16632,18222,16335,1539,32967
Fonthill,40476,49276,40841,4520,81317
Galway,26155,27855,25819,2544,51974
Greenhills,28817,32394,31947,3346,60764
Kells,15138,16044,14444,1575,29582
Kilkenny,14705,11047,10620,754,25325
Killarney,10094,8487,8081,560,18175
Letterkenny,9690,10755,10246,938,19936
Limerick,25109,25324,24232,2424,49341
Longford,5741,7656,7051,761,12792
Macroom,8393,7291,6630,442,15023
Monaghan,4904,7923,7168,1024,12072
Mullingar,8460,10295,9398,901,17858
Naas,20978,23095,20335,1918,41313
Nenagh,11192,11195,10147,946,21339
Northpoint 1 ,28413,31933,28707,3098,57120
Northpoint 2 ,42404,46556,43110,4104,85514
Portlaoise,13111,10863,9843,811,22954
Skibbereen,7919,7864,7322,513,15241
Sligo,8863,9962,9187,700,18050
Tralee,11337,10004,9429,809,20766
Tullamore,10216,9570,8942,686,19158
Waterford,18938,17334,15376,1478,34314
Westport,10192,10363,9473,741,19665
Youghal,7589,7976,6982,585,14571
Total ,667007,688539,628306,60031,1295313
